token	token_ids	count	POS
100th	16919	2	['ADJ']
10th	6049	10	['ADJ', 'PROPN']
11th	6252	8	['NOUN', 'ADJ']
12th	5940	5	['NOUN']
13th	6122	7	['ADJ']
14th	6400	3	['ADJ']
15th	6286	5	['ADJ']
16th	5767	2	['ADJ']
17th	5550	6	['ADJ']
1800s	19878	1	['NUM']
1820s	28504	2	['NOUN']
1830s	20400	4	['NOUN']
1840s	19308	5	['NUM']
1850s	16488	1	['NOUN']
1860s	15914	10	['NOUN']
1870s	14896	17	['NOUN', 'NUM']
1880s	12751	16	['NOUN']
1890s	13678	13	['NUM', 'NOUN']
18th	4985	4	['ADJ']
1900s	16430	3	['NUM']
1920s	6641	4	['NOUN']
1930s	5687	20	['NOUN']
1940s	7675	5	['NOUN']
1950s	4856	7	['NOUN']
1960s	4120	11	['NOUN']
1970s	3955	13	['NOUN']
1980s	3865	12	['NOUN']
1990s	4134	8	['NOUN']
19th	3708	20	['ADJ']
1st	3083	57	['ADJ']
20th	3983	15	['ADJ']
21st	7398	2	['PROPN', 'ADJ']
22nd	13816	4	['ADJ', 'PROPN']
23rd	13928	21	['PROPN', 'NOUN', 'ADJ']
24th	13386	10	['ADJ', 'PROPN']
25th	10965	12	['ADJ', 'NOUN']
27th	15045	2	['PROPN']
29th	16318	7	['NOUN']
2nd	3416	77	['ADJ', 'PROPN']
35th	20198	3	['ADJ']
38th	22051	12	['PROPN']
3a	23842	2	['NOUN']
3rd	3822	14	['PROPN']
41st	24233	1	['NOUN']
49th	25726	2	['ADJ']
4th	4343	15	['ADJ']
50th	12951	2	['ADJ']
57th	28623	2	['ADJ']
5th	4833	8	['ADJ']
6th	5351	16	['ADJ']
70th	26934	1	['NOUN']
7th	5504	5	['ADJ']
8th	5893	6	['ADJ', 'NOUN']
90s	17233	3	['NOUN']
9th	6280	49	['ADJ']
a	1037	4030	['DET']
aa	9779	16	['PROPN', 'NOUN']
aaa	13360	2	['PROPN']
aaron	7158	1	['PROPN']
abandon	10824	1	['VERB']
abandoned	4704	26	['VERB']
abandoning	19816	1	['VERB']
abandonment	22290	1	['NOUN']
abbey	6103	6	['PROPN']
abbot	11428	6	['NOUN']
abbott	14455	1	['PROPN']
abbreviation	22498	1	['NOUN']
abc	5925	2	['PROPN']
abdomen	13878	1	['NOUN']
abducted	20361	1	['VERB']
abdul	10298	2	['PROPN']
abilities	7590	2	['NOUN']
ability	3754	14	['NOUN']
able	2583	43	['ADJ']
aboard	7548	6	['ADP']
abolished	8961	2	['VERB']
abolition	15766	2	['NOUN']
aboriginal	9757	2	['ADJ']
about	2055	192	['ADP']
above	2682	46	['ADP']
abroad	6917	2	['ADV']
abruptly	9225	1	['ADV']
absence	6438	9	['NOUN']
absent	9962	5	['ADJ']
absolute	7619	1	['ADJ']
absolutely	7078	1	['ADV']
absorbed	9063	3	['VERB']
absorption	16326	1	['NOUN']
abstract	10061	1	['ADJ']
abstraction	24504	1	['NOUN']
abu	8273	1	['PROPN']
abuse	6905	1	['NOUN']
abuses	21078	2	['NOUN']
abusive	20676	1	['ADJ']
abyss	22159	1	['NOUN']
ac	9353	3	['PROPN']
acacia	24766	1	['PROPN']
academic	3834	7	['ADJ']
academics	15032	2	['NOUN']
academy	2914	23	['PROPN']
accelerate	23306	4	['VERB']
accelerated	14613	2	['VERB']
accelerating	29494	1	['VERB']
accept	5138	7	['VERB']
acceptable	11701	3	['ADJ']
acceptance	9920	2	['NOUN']
accepted	3970	22	['VERB']
accepting	10564	3	['VERB']
access	3229	10	['NOUN']
accessed	11570	1	['VERB']
accessibility	23661	1	['NOUN']
accessible	7801	3	['ADJ']
accession	16993	7	['NOUN']
accident	4926	9	['NOUN']
accidental	17128	1	['ADJ']
accidentally	9554	2	['ADV']
accidents	13436	2	['NOUN']
acclaim	10761	1	['NOUN']
acclaimed	10251	4	['VERB']
accommodate	8752	4	['VERB']
accommodation	11366	3	['NOUN']
accommodations	26167	2	['NOUN']
accompanied	5642	8	['VERB']
accompaniment	22205	1	['NOUN']
accompany	12673	1	['VERB']
accompanying	10860	4	['VERB']
accomplish	14570	3	['VERB']
accomplished	8885	3	['VERB', 'ADJ']
accomplishment	24718	1	['NOUN']
accomplishments	17571	3	['NOUN']
accord	15802	1	['NOUN']
accordance	10388	1	['NOUN']
according	2429	67	['VERB']
accordingly	11914	6	['ADV']
account	4070	10	['NOUN']
accountant	17907	1	['NOUN']
accounted	14729	2	['VERB']
accounts	6115	6	['NOUN', 'VERB']
accuracy	10640	2	['NOUN']
accurate	8321	8	['ADJ']
accurately	14125	2	['ADV']
accusations	13519	3	['NOUN']
accuse	26960	2	['VERB']
accused	5496	9	['VERB']
accusing	16723	1	['VERB']
ace	9078	1	['PROPN']
aces	20232	10	['PROPN']
achieve	6162	5	['VERB']
achieved	4719	7	['VERB']
achievement	6344	2	['NOUN']
achievements	10106	3	['NOUN']
achieving	10910	5	['VERB']
acid	5648	3	['ADJ']
acidic	24171	1	['ADJ']
acknowledged	8969	2	['VERB']
acknowledging	21894	1	['VERB']
acoustic	6490	4	['ADJ']
acquaintances	29409	1	['NOUN']
acquainted	19056	1	['VERB']
acquire	9878	3	['VERB']
acquired	3734	8	['VERB']
acquiring	13868	2	['VERB']
acquitted	18538	3	['VERB']
acre	7456	3	['NOUN']
acres	4631	8	['NOUN']
across	2408	71	['ADP']
act	2552	25	['PROPN', 'NOUN']
acted	6051	4	['VERB']
acting	3772	11	['VERB']
action	2895	53	['NOUN']
actions	4506	12	['NOUN']
activated	8878	1	['VERB']
active	3161	25	['ADJ']
actively	8851	1	['ADV']
activism	16841	2	['NOUN']
activist	7423	1	['NOUN']
activists	10134	1	['NOUN']
activities	3450	12	['NOUN']
activity	4023	18	['NOUN']
actor	3364	19	['PROPN']
actors	5889	19	['NOUN', 'PROPN']
actress	3883	3	['PROPN']
acts	4490	4	['NOUN']
actual	5025	6	['ADJ']
actually	2941	16	['ADV']
acute	11325	1	['ADJ']
ad	4748	14	['NOUN']
adam	4205	2	['PROPN']
adams	5922	7	['PROPN']
adapt	15581	4	['VERB']
adaptation	6789	1	['NOUN']
adaptations	17241	2	['NOUN']
adapted	5967	23	['VERB']
add	5587	7	['VERB']
added	2794	42	['VERB']
addiction	13449	1	['NOUN']
adding	5815	9	['VERB']
addition	2804	45	['NOUN']
additional	3176	28	['ADJ']
additionally	5678	13	['ADV']
additions	13134	2	['NOUN']
address	4769	3	['VERB']
addressed	8280	7	['VERB']
addressing	12786	1	['VERB']
adds	9909	3	['VERB']
adelaide	7364	3	['PROPN']
aden	16298	2	['PROPN']
adept	26398	1	['ADJ']
adequate	11706	3	['ADJ']
adequately	23613	1	['ADV']
adherence	29235	1	['NOUN']
adherents	25712	2	['NOUN']
adjacent	5516	4	['ADJ']
adjoining	13562	1	['ADJ']
adjusting	19158	1	['VERB']
adjustment	19037	1	['PROPN']
adjustments	24081	3	['NOUN']
adjutant	20690	2	['NOUN', 'PROPN']
administered	8564	6	['VERB']
administration	3447	15	['NOUN', 'PROPN']
administrations	27722	1	['NOUN']
administrative	3831	6	['ADJ']
administrator	8911	1	['NOUN']
admiral	5902	13	['PROPN']
admiralty	14179	7	['PROPN']
admiration	17005	3	['NOUN']
admired	12749	1	['VERB']
admission	9634	2	['NOUN']
admissions	20247	1	['NOUN']
admits	14456	3	['VERB']
admitted	4914	4	['VERB']
admitting	17927	1	['VERB']
adolf	12500	8	['PROPN']
adopt	11092	6	['VERB']
adopted	4233	19	['VERB']
adopting	16151	2	['VERB']
adoption	9886	10	['NOUN']
adorable	23677	2	['ADJ']
adorned	19189	2	['VERB']
adrian	7918	2	['PROPN']
adriatic	23400	5	['PROPN']
ads	14997	1	['NOUN']
adult	4639	9	['NOUN']
adultery	29169	1	['NOUN']
adulthood	20480	2	['NOUN']
adults	6001	6	['NOUN']
advance	5083	16	['VERB', 'NOUN']
advanced	3935	16	['ADJ']
advances	9849	5	['NOUN']
advancing	10787	4	['VERB']
advantage	5056	17	['NOUN']
advantages	12637	7	['NOUN']
advent	13896	1	['NOUN']
adventist	25696	1	['PROPN']
adventures	7357	1	['NOUN']
adversary	27248	1	['NOUN']
advertised	17099	1	['VERB']
advertising	6475	5	['NOUN']
advice	6040	10	['NOUN']
advise	18012	1	['VERB']
advised	9449	3	['VERB']
adviser	11747	4	['NOUN', 'PROPN']
advisers	24205	3	['NOUN']
advising	23875	1	['VERB']
advisor	8619	10	['NOUN']
advisors	18934	1	['NOUN']
advisory	7319	1	['NOUN']
advocacy	12288	3	['NOUN']
aerial	9682	7	['ADJ']
aerospace	13395	1	['PROPN']
aesthetic	12465	2	['ADJ']
aesthetics	20749	1	['NOUN']
affair	6771	5	['NOUN']
affairs	3821	12	['NOUN']
affect	7461	1	['NOUN']
affected	5360	14	['VERB']
affecting	12473	2	['ADJ', 'VERB']
affection	12242	1	['NOUN']
affiliated	6989	1	['VERB']
affiliation	12912	1	['NOUN']
